Date,Close
2021-10-01,2608.715425337193
2021-10-02,2533.741907128193
2021-10-03,2507.7453534015112
2021-10-04,2554.733527511961
2021-10-05,2487.90463273283
2021-10-06,2441.029711259128
2021-10-07,2375.8967525870617
2021-10-08,2318.788876998372
2021-10-09,2258.5601633895835
2021-10-10,2214.4722076642242
2021-10-11,2151.48636527292
2021-10-12,2189.859213096179
2021-10-13,2137.0432746677047
2021-10-14,2089.2608678587326
2021-10-15,2040.5195160712785
2021-10-16,1999.3411477492614
2021-10-17,1952.88603796893
2021-10-18,1995.100130708065
2021-10-19,2029.5832575234351
2021-10-20,2072.1740531887963
2021-10-21,2046.3257368399088
2021-10-22,2016.083907164802
2021-10-23,2050.569650367373
2021-10-24,2097.0107786140757
2021-10-25,2040.9774021587123
2021-10-26,2089.411953673105
2021-10-27,2052.2679590411417
2021-10-28,2111.174145385266
2021-10-29,2065.0362128090233
2021-10-30,2010.8041388697563
2021-10-31,2041.177121511669
2021-11-01,2093.5181019656766
2021-11-02,2121.949876135733
2021-11-03,2155.554168961585
2021-11-04,2198.0177700590984
2021-11-05,2140.1578048427195
2021-11-06,2176.4125444234546
2021-11-07,2211.201718894703
2021-11-08,2170.778298354068
2021-11-09,2216.9793700275113
2021-11-10,2157.577248009559
2021-11-11,2198.8991387033316
2021-11-12,2256.6255140189915
2021-11-13,2231.431023463061
2021-11-14,2288.472152345224
2021-11-15,2225.1894505290993
2021-11-16,2279.8152120189793
2021-11-17,2256.602902962837
2021-11-18,2281.2090680457763
2021-11-19,2227.816758014394
2021-11-20,2196.7541865750513
2021-11-21,2143.5794291190327
2021-11-22,2185.842109944382
2021-11-23,2155.8395786193178
2021-11-24,2123.3625123341853
2021-11-25,2146.3172751534266
2021-11-26,2084.7612561718083
2021-11-27,2143.6923718797025
2021-11-28,2170.5886228674303
2021-11-29,2213.847566573491
2021-11-30,2272.89520664837
2021-12-01,2305.5167494681236
2021-12-02,2347.6262428786936
2021-12-03,2402.290348951885
2021-12-04,2346.436111561237
2021-12-05,2276.740765681295
2021-12-06,2247.6732761218195
2021-12-07,2222.931482027426
2021-12-08,2286.321354935434
2021-12-09,2339.9267056546305
2021-12-10,2379.213116051322
2021-12-11,2438.913638061045
2021-12-12,2499.568953084587
2021-12-13,2438.264209572524
2021-12-14,2465.200618771651
2021-12-15,2393.4212099079605
2021-12-16,2326.937101169615
2021-12-17,2371.8056194396404
2021-12-18,2412.4854803622175
2021-12-19,2444.7546558719678
2021-12-20,2517.3517476250154
2021-12-21,2587.623338357092
2021-12-22,2651.6490883397023
2021-12-23,2722.4819263225127
2021-12-24,2765.474865832873
2021-12-25,2829.204556317196
2021-12-26,2888.055378798185
2021-12-27,2855.989906125835
2021-12-28,2918.055456849092
2021-12-29,2980.8633618248177
2021-12-30,2897.774594443977
2021-12-31,2957.5389272292273
2022-01-01,2994.6408351656655
2022-01-02,2913.808753449978
